"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","252","List Events","chromium","2026-08-09","passed","2026-08-09","","api/events/listEvents.spec.ts","",""
"","10055","Create a new event successfully with all required details","chromium","2026-08-09","passed","2026-08-09","Admin Event Management Tests","ui/AddNewEvent.spec.ts","",""
"","239","Update a single event using valid token","chromium","2026-08-09","passed","2026-08-09","Update events","api/events/updateEvent.spec.ts","",""
"","315","Login using invalid credentials","chromium","2026-08-09","passed","2026-08-09","","api/login/login.api.spec.ts","",""
"","4844","Verify booking details are displayed correctly","chromium","2026-08-09","failed","2026-08-09","My Bookings Page Tests","ui/MyBookingsTest.spec.ts","",""
"","2153","Verify login page elements","chromium","2026-08-09","passed","2026-08-09","Verify Login page elements and functionality","ui/LoginPageTest.spec.ts","",""
"","719","Login using invalid email","chromium","2026-08-09","passed","2026-08-09","","api/login/login.api.spec.ts","",""
"","2232","Verify register page elements","chromium","2026-08-09","passed","2026-08-09","Register Page Tests","ui/RegisterTest.spec.ts","",""
"","6893","Book event successfully","chromium","2026-08-09","failed","2026-08-09","Event Booking Tests","ui/BookEventTest.spec.ts","",""
"","315","Login API test using valid credentials","chromium","2026-08-09","passed","2026-08-09","","api/login/login.api.spec.ts","",""
"","228","Verify delete event not found","chromium","2026-08-09","passed","2026-08-09","Verify the delete operation","api/events/deleteevent.spec.ts","",""
"","230","Get single event using id","chromium","2026-08-09","passed","2026-08-09","Get the single event using id","api/events/listSingleevent.spec.ts","",""
"","2255","Verify login functionality with valid credentials","chromium","2026-08-09","passed","2026-08-09","Verify Login page elements and functionality","ui/LoginPageTest.spec.ts","",""
"","31618","Verify successful event booking with seat reduction","chromium","2026-08-09","broken","2026-08-09","Event Booking Tests","ui/EventBookingTest.spec.ts","",""
"","697","create new event with invalid token","chromium","2026-08-09","passed","2026-08-09","Create new events","api/events/createNewEvent.spec.ts","",""
"","226","Verify unauthorized access","chromium","2026-08-09","passed","2026-08-09","Verify the delete operation","api/events/deleteevent.spec.ts","",""
"","243","Create a new event successfully","chromium","2026-08-09","passed","2026-08-09","Create new events","api/events/createNewEvent.spec.ts","",""
"","2247","Regsiter a new account","chromium","2026-08-09","passed","2026-08-09","Register Page Tests","ui/RegisterTest.spec.ts","",""
"","232","Verify retreiving a booking by reference code","chromium","2026-08-09","passed","2026-08-09","Retrieve booking by refernce code","api/bookings/retrieveByRefCode.spec.ts","",""
"","228","Verify unauthorized access while getting a single event when invalid token is passed","chromium","2026-08-09","passed","2026-08-09","Get the single event using id","api/events/listSingleevent.spec.ts","",""
"","160","seed","chromium","2026-08-09","passed","2026-08-09","Test group","ui/seed.spec.ts","",""
"","234","Verify response when invalid booking id is passed","chromium","2026-08-09","passed","2026-08-09","Get a single booking by ID","api/bookings/listSingleBooking.spec.ts","",""
"","679","Verify update event not found","chromium","2026-08-09","passed","2026-08-09","Update events","api/events/updateEvent.spec.ts","",""
"","4108","Verify successful login","chromium","2026-08-09","passed","2026-08-09","Register Page Tests","ui/HomePageTest.spec.ts","",""
"","236","Verify delete operation for a valid event id","chromium","2026-08-09","passed","2026-08-09","Verify the delete operation","api/events/deleteevent.spec.ts","",""
"","271","Create a new booking using valid credentials","chromium","2026-08-09","passed","2026-08-09","Create a new booking","api/bookings/createNewBooking.spec.ts","",""
"","241","Create a new event with validation error","chromium","2026-08-09","passed","2026-08-09","Create new events","api/events/createNewEvent.spec.ts","",""
"","234","Get a single booking using valid booking id","chromium","2026-08-09","passed","2026-08-09","Get a single booking by ID","api/bookings/listSingleBooking.spec.ts","",""
"","1","Verify all elements on My Bookings page","chromium","2026-08-09","skipped","2026-08-09","My Bookings Page Tests","ui/MyBookingsTest.spec.ts","",""
"","226","Verify unauthorized access while getting a single event when no token is passed","chromium","2026-08-09","passed","2026-08-09","Get the single event using id","api/events/listSingleevent.spec.ts","",""
"","244","Verfiy response when booking not found","chromium","2026-08-09","passed","2026-08-09","Retrieve booking by refernce code","api/bookings/retrieveByRefCode.spec.ts","",""
"","227","Verify unauthorized access","chromium","2026-08-09","passed","2026-08-09","Update events","api/events/updateEvent.spec.ts","",""
"","475","Delete a booking with valid id","chromium","2026-08-09","passed","2026-08-09","","api/bookings/deleteBooking.spec.ts","",""
"","228","Verify validation error while updating an event","chromium","2026-08-09","passed","2026-08-09","Update events","api/events/updateEvent.spec.ts","",""
"","228","Verify event not found","chromium","2026-08-09","passed","2026-08-09","Get the single event using id","api/events/listSingleevent.spec.ts","",""
